config,mean,sem,n,delta_vs_ref,delta_sem,n_folds_up,beats_ref
+ all three,0.458276571288217,0.0065415780602808655,6,0.002104039057062542,0.001271787620383505,3,False
+ all three + medxtime,0.45811502932256226,0.0066026753821546835,6,0.0019424970914078687,0.0012437141396393382,3,False
+ medium,0.45822368883233877,0.006563037114707749,6,0.002051156601184323,0.0013032102387282596,4,False
+ temperature,0.45586267379327006,0.007168390953308379,6,-0.0003098584378843731,0.00014317514913010613,2,False
+ time,0.45580938751162675,0.007168774866064071,6,-0.00036314471952767863,0.00019086686282129446,1,False
source + instrument (new best),0.45617253223115445,0.007213751049272805,6,0.0,0.0,0,False
