config,mean,sem,n,delta_vs_adopted,delta_sem,beats_adopted
"240 comp, seeds x3",0.4507462875996995,0.009117243869951677,6,0.00023220313444365556,4.5868379426599984e-05,True
seeds x10,0.4506316438911313,0.009090773917010981,6,0.00011755942587550934,3.990169306255889e-05,True
seeds x6,0.4505811784635861,0.009086391257985615,6,6.709399833030687e-05,3.506893915858342e-05,False
"lr .0075 / 3200, x3",0.4505697081886509,0.009082425498901934,6,5.5623723395116974e-05,9.527740727361768e-05,False
ADOPTED (winners + seeds x3),0.4505140844652558,0.009096436742471606,6,0.0,0.0,False
