config,mean,sem,n,delta_vs_ref,delta_sem,beats_ref
instrument level,0.4441244418081116,0.007314587854306925,6,0.005589434600170455,0.002172984973082214,True
variant lam=8 + instr,0.44368382132893586,0.007236089778311315,6,0.0051488141209946785,0.002066769504097907,True
REF (compound only),0.4385350072079412,0.008148132534852153,6,0.0,0.0,False
variant lam=32,0.43832612794392656,0.008117130461965038,6,-0.00020887926401464788,7.874888855616948e-05,False
variant lam=16,0.4381850796132607,0.008104417555784707,6,-0.0003499275946804807,0.0001212337427924607,False
variant lam=8,0.4380153428934886,0.008092296999868794,6,-0.0005196643144526059,0.00016889328870502835,False
variant lam=4,0.43783379419571705,0.008081924882872803,6,-0.0007012130122241814,0.000215081898843716,False
