term,levels,cum_energy@4,cum_energy@8,cum_energy@16,cum_energy@32,cum_energy@64,halfcorr@4,halfcorr@8,halfcorr@16,halfcorr@32,halfcorr@64
plate,144,0.7769554257392883,0.8578442335128784,0.9158274531364441,0.9500426054000854,0.9763515591621399,0.9981933722609929,0.9845362306673711,0.9854584040138203,0.952165867861783,0.8071719058490945
plate_x_strain,381,0.33697083592414856,0.42232075333595276,0.5194712281227112,0.6207234859466553,0.73757404088974,0.9161503366263511,0.8699992136947718,0.8331170564135747,0.7307834831074287,0.6707604617892806
strain,4,1.0,1.0,1.0,1.0,1.0,0.9997945505999708,,,,
compound,40,0.6664153933525085,0.7984468340873718,0.9179412722587585,0.984688937664032,1.0,0.9872013329465041,0.9428676530550456,0.9256387946830579,0.46146993857205054,
