model,TOTAL,M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc
B0 protein-mean,0.243132492603616,0.4769453688930679,0.18516752277680962,0.03485470820985207,0.2156075884959471,0.3243655722757595,0.3784504312412844,0.953890735859352,0.8836498805675842,1.92678374927117e-09,0.6845101191183708
B1 plate x strain baseline,0.4056748181379182,0.8933121557492539,0.24815749724676447,0.18015327827215033,0.2552899872639849,0.5637321212065006,0.4302229489699842,0.9830205668409691,0.9640716530490371,0.8036037446575388,0.753599864930604
B2 copy measured control,0.39832180373248893,0.8917791484846254,0.21503554999632926,0.2130186385973654,0.2552899872639849,0.5687644627726001,0.3133783017390291,0.9832002191595425,0.9647101003918571,0.8003580778097084,0.4399430946631827
B3 baseline + global Delta,0.4079688304107516,0.8935602257810683,0.2623185236754368,0.16468053855901887,0.25769034894077,0.5727818497530448,0.43849583720833074,0.9833918746660586,0.9649758789526506,0.803728576896078,0.7612433681221713
B4 baseline + mu_drug,0.4133244781519264,0.8948296384579866,0.28467504411055955,0.1643802382020791,0.24110121496474127,0.5927880057362925,0.45629396451391707,0.983663802713042,0.9655476322852892,0.8059954742029312,0.7787333913953541
B5 baseline + structured Delta,0.420580959245728,0.8934624021480102,0.3001644568490351,0.15319273191022625,0.26220032454225917,0.6052712619290992,0.46483254240920324,0.9836010503108439,0.9653804974301794,0.8033237539851764,0.787854305073995
B6 control-copy + structured,0.40259571639066,0.8931412274580897,0.2222354584105834,0.18827134194867026,0.26220032454225917,0.5892945359953817,0.38769638797344275,0.9838686666169397,0.9661265548255464,0.8024137882992397,0.7189885792190733
