config,mean,sem,n,delta_vs_ref,delta_sem,beats_ref
"REF (compound only, both places)",0.4491102535715071,0.00908403682921324,6,0.0,0.0,False
additive sees variant,0.44830563300897713,0.008844493945596464,6,-0.0008046205625300099,0.0002990339540309772,False
booster sees variant,0.4477363875266884,0.009283422472642156,6,-0.001373866044818789,0.00034920006655345473,False
both see variant,0.4471892983653585,0.009326041305895557,6,-0.0019209552061486186,0.0003310901912509012,False
