split,n,rms_err,rms_protein_bias,rms_sample_offset,rms_residual,rms_delta_true,rms_delta_hat,rms_pert_term,rms_booster,noise_floor,err_over_floor
ALL VAL,3038,0.43956807090397565,0.20047139447816817,0.09126917578669479,0.389915022139532,0.37497307874059843,0.408357752529914,0.12140151101725878,0.0680019476321191,0.26,1.6906464265537524
val_chem_only,1065,0.3174926628489316,0.0572023882924134,0.07093168436306371,0.3059887837852434,0.3562071476611375,0.20352987528928027,0.0,0.03164418842622697,0.26,1.2211256263420445
val_strain_only,1547,0.5051691364463122,0.34274416066077523,0.10182232188051471,0.3923175745520829,0.3868722290088506,0.513015218487183,0.16000439954368473,0.08674375159368655,0.26,1.9429582171012008
val_both,269,0.5039332843388665,0.3625030441516629,0.09730894244269805,0.39275322771140764,0.3586021695761508,0.4576140477100892,0.0,0.03420424285110139,0.26,1.9382049397648713
val_time,157,0.31476958074327793,0.03523935008830446,0.09314936372149987,0.30067948226049873,0.42145191046637515,0.30731067625478486,0.18146009147155617,0.08087871778554905,0.26,1.210652233627992
