config,mean,sem,n,delta_vs_ref,delta_sem,n_folds_up,beats_ref
"retuned (plate 2, pxs 6)",0.46153616265400554,0.007685841504522826,6,0.003800638833640735,0.0010722963872865049,6,True
retuned + plate 1,0.46087195307912987,0.0074916113945689405,6,0.003136429258765089,0.0005538356377587242,6,True
"incumbent (plate .3, pxs 2)",0.4577355238203648,0.007322128170530677,6,0.0,0.0,0,False
