model,TOTAL,M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc
L0 constant vector,0.24238710207226954,0.46059570618734225,0.18859984165189972,0.03585108496651136,0.21976819322901034,0.3173206563795477,0.4052415828953409,0.9555811330122,0.8868017035973706,-1.186020186200897e-08,0.6829067609317362
"L1 batch level, zero drug effect",0.45675175890740105,0.8621919731447583,0.369993044600896,0.21251552935002388,0.30659939794399765,0.6047846814123501,0.5502729905637201,0.9864443418436187,0.9715112510719108,0.8392805262439499,0.8306351324178137
L2 batch + modelled drug effect,0.4701710309312172,0.866485403073559,0.4008999506667249,0.21251552935002388,0.311210830255582,0.6318900563235472,0.5742937019269657,0.9870244061554323,0.9727126055821351,0.8451071102748595,0.8477752469254424
L3 batch + TRUE drug effect,0.8136063057765804,0.8955292347668039,0.8118470348061742,0.7940023208046726,0.7280257662016593,0.8479341975636109,0.8467932592809738,0.9897916263296748,0.9786693182812294,0.8876630723856764,0.9921205223711576
L4 truth,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
