model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc
"as specified (all controls, plate-level mu_ctx, R^2 in M1)",0.4992408200946129,0.5077640486240766,0.3606394897955598,0.24191636226143,0.6249673913706393,0.8982613667152481,0.4182154529522927,0.2593319732190869,0.3390208160810122,0.6613963618021466,0.584489789465112,0.9877888909949385,0.9745129552237867,0.8829942462575697,0.858432498502015
vehicle = DMSO first,0.538739930993513,0.6075030070196495,0.42679073058567074,0.33980552563268845,0.6973412938320988,0.8982613667152481,0.5003049838475014,0.25538877261020865,0.4044808457021416,0.7039621282603261,0.6328255040017075,0.9877888909949385,0.9745129552237867,0.8829942462575697,0.9002583916947394
vehicle = Water first,0.5494634869752216,0.6141270181720673,0.45095089349116796,0.35128250192310023,0.6968010407760695,0.8982613667152481,0.5154083827251981,0.256173334468283,0.4347824537397526,0.7066963090689217,0.6419665880474626,0.9877888909949385,0.9745129552237867,0.8829942462575697,0.9035217810829052
vehicle = by solubility,0.5817874593619788,0.6158013237664446,0.4279079187493998,0.34281029547135167,0.7001834041257238,0.8982613667152481,0.5043856898267003,0.460716941520887,0.407444091745938,0.7054238482933981,0.6372834415909846,0.9877888909949385,0.9745129552237867,0.8829942462575697,0.9019629721169125
mu_ctx over strain/medium/temp/time,0.546264465153946,0.5077640486240766,0.3606394897955598,0.24191636226143,0.6249673913706393,0.8982613667152481,0.4182154529522927,0.49445019851575217,0.3390208160810122,0.6613963618021466,0.584489789465112,0.9877888909949385,0.9745129552237867,0.8829942462575697,0.858432498502015
M1 = correlations only,0.5091785806175648,0.5077640486240766,0.3606394897955598,0.24191636226143,0.6249673913706393,0.9353915686262542,0.4182154529522927,0.2593319732190869,0.3390208160810122,0.6865135632096541,0.584489789465112,0.9877888909949385,0.9745129552237867,0.8829942462575697,0.858432498502015
Delta from predicted control,0.4170356872744174,0.26393565903466104,0.2950842444332704,0.1478077570125114,0.4664520140414974,0.8982613667152481,0.27824570928949105,0.19476809230188002,0.23979146197332,0.5982403661576314,0.42172078276383834,0.9877888909949385,0.9745129552237867,0.8829942462575697,0.6965648468500065
treated samples only (232 control rows dropped),0.4978903290828591,0.5077640486240766,0.3527130089828276,0.24191636226143,0.6146966164287624,0.8990460580435561,0.4139178488562628,0.2593319732190869,0.3390208160810122,0.6584394040102293,0.5817431399807893,0.9879085873772393,0.9747419038264696,0.8830977280936373,0.8572707510229034
