config,mean,sem,n,delta_vs_ref,delta_sem,n_folds_up,beats_ref
adopted + pert x8,0.46560666170590537,0.008350139235837101,6,0.004079799897822515,0.0012725218055929146,6,True
adopted + pert x4,0.46467097622557446,0.00809014701091802,6,0.0031441144174916003,0.0008062380269198982,6,True
adopted (pert x1),0.46152686180808283,0.007672977442727249,6,0.0,0.0,0,False
