gamma,model,TOTAL,M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc
0.0,gamma=0.0,0.47163965911338573,0.8736533965649786,0.4009406072378535,0.21251552934251988,0.31121083017816575,0.6321154927701087,0.5743401361955723,0.9870322756308031,0.9727293565599341,0.8486194723592231,0.8477714346353354
0.25,gamma=0.25,0.46758186602132185,0.8733763778941711,0.3999781797092098,0.19344301469967148,0.31121083017816575,0.632971406211428,0.573682718369498,0.9870268527481298,0.9727283375031183,0.8483254368191507,0.8472022075806238
0.5,gamma=0.5,0.4622259687907099,0.8727193701070463,0.3980410668177439,0.16974887596578436,0.31121083017816575,0.6335360588980191,0.572525618925453,0.9870042733132128,0.9726914959721462,0.847692527069711,0.8461687510842616
0.75,gamma=0.75,0.4564160524623343,0.8717201818221313,0.3952919103500784,0.1454033119213286,0.31121083017816575,0.6337633716984055,0.5709974584129806,0.9869646877478252,0.9726188319670181,0.8468718271632388,0.845038241640805
1.0,gamma=1.0,0.45062812512093026,0.8703926813085541,0.39190456445414484,0.12253039843176494,0.31121083017816575,0.6336745863199766,0.5691548678339889,0.98690825086437,0.972510345487734,0.8459186553638437,0.8437170322132278
1.5,gamma=1.5,0.43992260302594444,0.8667607934683577,0.3838717776503435,0.08433820922837033,0.31121083017816575,0.6325775796527172,0.5646986814621616,0.9867454633902377,0.972185905106698,0.8436464553310792,0.8407204349037604
2.0,gamma=2.0,0.43061353003221464,0.8618478120599643,0.37505398548382707,0.05615891723726382,0.31121083017816575,0.6302025938382995,0.5597252476469842,0.986517231114017,0.9717181748290378,0.8409710286422482,0.8379279374961993
