model,TOTAL,M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc
prev: ctrl-only + Delta backfit,0.4065155354166996,0.8377304487467794,0.3001644568490351,0.15319273191022625,0.26220032454225917,0.5555219984366447,0.5059504064184667,0.9836010503108439,0.9653804974301794,0.8033237539851764,0.787854305073995
unified (batch only),0.4566598299386413,0.8620176745217448,0.36996615647591063,0.21219943697692764,0.3066094461317311,0.6046500225250233,0.5507595408216109,0.9864442209109957,0.9714585690842736,0.8392336935883854,0.8321653689908906
unified (batch + pert),0.4700424223517349,0.8662808919845475,0.4008568855268598,0.21219943697692764,0.31107500705018676,0.6317833289498589,0.5747760174540327,0.9870242916617574,0.9726537346167893,0.845013892734739,0.8493631844413984
