config,mean,sem,delta,delta_sem,folds_up,beats
A alone (adopted),0.4638717848446892,0.008023915875648687,0.0,0.0,0,False
A+B,0.4637232679523926,0.008006233520147312,-0.00014851689229669618,0.0002056487752929399,3,False
A+B+C,0.4650138955915855,0.008062778955279591,0.0011421107468962872,0.00018168849762363249,6,True
A+B+C+D+E,0.46536733260803914,0.008084533108583425,0.001495547763349823,0.00021810053886314707,6,True
A+D,0.46444144503215895,0.007988403993947957,0.000569660187469743,0.00017597070867906214,6,True
A+D+E,0.4651216626767025,0.008085591645635163,0.001249877832013191,0.0002121823918423462,6,True
