config,mean,sem,n,delta_vs_ref,delta_sem,n_folds_up,beats_ref
source+instr lam=3,0.4561788842994822,0.007208424846240814,6,0.007067586974815215,0.0026179468496227622,6,True
instr lam=20,0.45485489970650606,0.007754397615936307,6,0.005743602381839084,0.0022618135765725663,6,True
instr lam=3,0.4547474524152317,0.008062578492585935,6,0.005636155090564698,0.0021929556514839223,6,True
instr lam=1,0.4547406987137597,0.008166948735892897,6,0.005629401389092746,0.002266942616283413,5,True
instr lam=8,0.4545541099116946,0.007809808476805815,6,0.005442812587027612,0.0022547634249044358,6,True
source lam=3,0.45329320666735146,0.008161593368089892,6,0.004181909342684503,0.0014522033172939134,6,True
instr lam=3 after plate,0.45041269004219164,0.008816736194412539,6,0.0013013927175246816,0.00043781554543112706,5,True
REF (no instrument),0.449111297324667,0.009087581113050447,6,0.0,0.0,0,False
