model,TOTAL,FC[chem_only],FC[straonly],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc
batch only,0.45675175890740105,0.49690669753254296,0.282455307269962,0.23631238323616519,0.5041421342788838,0.8621919731447583,0.369993044600896,0.21251552935002388,0.30659939794399765,0.6047846814123501,0.5502729905637201,0.9864443418436187,0.9715112510719108,0.8392805262439499,0.8306351324178137
our model,0.4701710309216037,0.49690669753254296,0.337517786289483,0.23631238323616519,0.5929305479905705,0.8664854030981338,0.40089995063945666,0.21251552935002388,0.31121083021014595,0.6318900563565548,0.5742937018884662,0.9870244061550933,0.9727126055809705,0.8451071103282485,0.8477752469254424
+ EB shrinkage,0.45870415310766327,0.4837543211210181,0.32687524891888214,0.23305291417883076,0.5778344792600744,0.8562370597257636,0.38978608835491146,0.19278409227558277,0.30439946566453563,0.6221551689382937,0.5671598118385921,0.9868529657949358,0.9723142360938609,0.8341250731963495,0.8415789635973576
ORACLE denoised Delta (achievable),0.7156793139244888,0.7732627395482459,0.635130217867136,0.5383751630213621,0.8431896984698487,0.8858657863771935,0.6885178491695205,0.6237344929064002,0.6263057796480402,0.7786712816372057,0.7700302336412289,0.9887951021256784,0.9765346878922386,0.8747218197306944,0.9706554597763437
ORACLE true Delta (not achievable),0.8136063057765804,0.9269757801075516,0.7302280074198061,0.7013866487718097,0.9341672420704118,0.8955292347668039,0.8118470348061742,0.7940023208046726,0.7280257662016593,0.8479341975636109,0.8467932592809738,0.9897916263296748,0.9786693182812294,0.8876630723856764,0.9921205223711576
