setting,model,TOTAL,FC[chem_only],FC[straonly],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc
"48 comps, 300 trees",additive only,0.4358672445736719,0.4831250907201404,0.2697390413276306,0.19683327514178928,0.5968303664317918,0.8296482543533577,0.365871096855616,0.22240471106098386,0.23540755253879334,0.5958986935543933,0.5463499482740315,0.9817008951123065,0.9620672224798634,0.7999130897878168,0.8196018903031705
"48 comps, 300 trees",+ GBDT residual,0.44772500489176403,0.4903335519232559,0.2792584959224089,0.19591941696971998,0.6139619429365107,0.8296136356786283,0.37353614628148196,0.2582372625298704,0.24600534236264204,0.6004994258523337,0.5503955524386394,0.9817647980574129,0.9620910996260668,0.8001020900185609,0.8222746005117796
"48 comps, 300 trees",+ 0.5x GBDT residual,0.444627313431603,0.48866633029340467,0.27514142940029457,0.19645563502774527,0.6087390143386804,0.8300562485813977,0.3709529772060455,0.2512191563629042,0.24131235114406288,0.5991071838706563,0.5492159905070606,0.9817763523643998,0.962188534833113,0.8005694658258686,0.8216679589091127
"16 comps, 300 trees",additive only,0.4358672445736719,0.4831250907201404,0.2697390413276306,0.19683327514178928,0.5968303664317918,0.8296482543533577,0.365871096855616,0.22240471106098386,0.23540755253879334,0.5958986935543933,0.5463499482740315,0.9817008951123065,0.9620672224798634,0.7999130897878168,0.8196018903031705
"16 comps, 300 trees",+ GBDT residual,0.44558835159283716,0.48946117112785525,0.2769906510134883,0.19599132298817495,0.6102986727886386,0.8295438021296073,0.3720491366375664,0.2531186741407444,0.24305084352958567,0.5994408634234785,0.549786342622204,0.9817520879436527,0.9620745689501611,0.7999405439247538,0.8220765998589314
"16 comps, 300 trees",+ 0.5x GBDT residual,0.4427343343236221,0.48761083952638284,0.27381463804641915,0.19646485234841277,0.6059885249750051,0.829911860410671,0.3698250622904149,0.2455264663880486,0.23965115146952953,0.5982856665659142,0.5486321288155409,0.9817564776578902,0.962152563965747,0.8003292585065318,0.8213357005913363
"48 comps, 800 trees, lr .03",additive only,0.4358672445736719,0.4831250907201404,0.2697390413276306,0.19683327514178928,0.5968303664317918,0.8296482543533577,0.365871096855616,0.22240471106098386,0.23540755253879334,0.5958986935543933,0.5463499482740315,0.9817008951123065,0.9620672224798634,0.7999130897878168,0.8196018903031705
"48 comps, 800 trees, lr .03",+ GBDT residual,0.4489262374332724,0.4914012729213206,0.2802332110626874,0.1966250464512564,0.6140600849192857,0.8293896699082348,0.3744401714829526,0.2612743866163715,0.2477994399699712,0.600834073167124,0.5508017589381258,0.9817604166390079,0.9620289824897542,0.799769007642545,0.822876313576514
"48 comps, 800 trees, lr .03",+ 0.5x GBDT residual,0.44572518914303394,0.4895612030869261,0.27583958250754637,0.19682772824744466,0.6097858981010562,0.8300717275587908,0.371698209857776,0.25431886521619795,0.24241057600294308,0.5995803193540987,0.549647419751873,0.9817872566195358,0.9621915444318272,0.8005654435254241,0.8221843035882807
