model,TOTAL,FC[chem_only],FC[straonly],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,k,mean_wells,well_sd
controls<= 1,0.5730263130413801,0.6061769332012006,0.4156327490537462,0.34121534996877934,0.6940673632576254,0.8664854030402824,0.49443526207346744,0.48540424942849697,0.3959628289549367,0.6834000017553492,0.630140021254701,0.9870244061539324,0.9727126055785627,0.8451071102605878,0.8943647105149214,1,0.9039964277740568,
controls<= 2,0.47714425029544827,0.5034395302642164,0.3375177863358615,0.23631238323616519,0.6123716216915973,0.8664854030402824,0.4043528458394981,0.23972348604780758,0.31141936179138247,0.6367503246806887,0.5771071238322077,0.9870244061539324,0.9727126055785627,0.8451071102605878,0.8499081746460578,2,1.7346505916499217,0.16862232983112335
controls<= 3,0.47017103090135104,0.49690669753254296,0.3375177863358615,0.23631238323616519,0.5929305479574777,0.8664854030402824,0.40089995065993733,0.21251552935002388,0.3112108302196889,0.6318900562471588,0.5742937017930357,0.9870244061539324,0.9727126055785627,0.8451071102605878,0.8477752469254424,3,1.9147131056039295,0.17440317571163177
controls<= None,0.47017103090135104,0.49690669753254296,0.3375177863358615,0.23631238323616519,0.5929305479574777,0.8664854030402824,0.40089995065993733,0.21251552935002388,0.3112108302196889,0.6318900562471588,0.5742937017930357,0.9870244061539324,0.9727126055785627,0.8451071102605878,0.8477752469254424,99,1.9147131056039295,0.17440317571163177
delta_mode=measured,0.47017103090135104,0.49690669753254296,0.3375177863358615,0.23631238323616519,0.5929305479574777,0.8664854030402824,0.40089995065993733,0.21251552935002388,0.3112108302196889,0.6318900562471588,0.5742937017930357,0.9870244061539324,0.9727126055785627,0.8451071102605878,0.8477752469254424,-1,,
delta_mode=predicted,0.36235342498239814,0.15569503133264673,0.23808402046355762,0.10884472217535279,0.34924014665850983,0.8664854030402824,0.20041177381891803,0.18668661462323202,0.15015547533402596,0.5391005406572137,0.35349857724878403,0.9870244061539324,0.9727126055785627,0.8451071102605878,0.6372585744714656,-1,,
