config,mean,sem,delta,delta_sem,folds_up,beats
320 comp,0.46593948611470815,0.008122005619273688,0.00012061324185359361,3.769568456465034e-05,5,True
adopted,0.4658188728728545,0.008091941761240473,0.0,0.0,0,False
pert x8,0.4661962226539269,0.008313939945376329,0.00037734978107240025,0.0004536701092819597,3,False
strain before plate,0.4679433098267607,0.008907005201650635,0.0021244369539061467,0.0012025410333306827,3,False
