model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc
baseline 1: mean model,0.24001371282547537,0.16728717694487247,0.20400025933506974,0.162912725635635,0.18155851751948204,0.4593848651620417,0.18516752277680962,0.03485470820985207,0.2156075884959471,0.3156017621075006,0.40384447093909465,0.9538902793831285,0.8836491793382545,1.92678374927117e-09,0.6845101191183708
baseline 2: random forest,0.380866261506362,0.3701184671233649,0.2311442739747667,0.17004057353583074,0.408651630610505,0.7931684288825196,0.28665597448728025,0.1196537683192803,0.24325419036689752,0.5321789104478498,0.4953819865203491,0.9769366315602371,0.9525406197591559,0.7713101366334559,0.7856766761888566
baseline 3: gradient boosting,0.4217192707701874,0.367252746893014,0.30912212716657633,0.22058436779621238,0.47753548419393027,0.8331894154096183,0.3312161711792735,0.14342099554009902,0.29444662872359345,0.5858980892738762,0.5222802222663839,0.9835513840021604,0.9658359984320075,0.8188013606236065,0.8059755307810997
ours: additive only,0.47109563146809846,0.4974820044039953,0.3340933159563638,0.23625115204053573,0.5916333919934131,0.867850189857885,0.39940535762177776,0.21968247725481746,0.3091385201133585,0.6319823305452816,0.5742364312582726,0.9870064439187939,0.9729974830773324,0.8472536919501765,0.8517448986826774
ours: additive + booster,0.48115384025638674,0.500194016577453,0.3463650835358804,0.23239040935508293,0.6163497895063292,0.8684932927085107,0.40719920176158564,0.23875792283779884,0.32621966180309103,0.6375805903242802,0.5780361062736422,0.9870811794954442,0.9730705494157575,0.8481840437031077,0.8536107182804509
