trial,TOTAL,FC[chem_only],FC[straonly],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc
160 components,0.4501580426715298,0.4914288532348362,0.28234416258542083,0.19657942757732072,0.6158063462004639,0.8292774232500527,0.3754069403850081,0.2634806078160836,0.25038998059754475,0.6012648945952278,0.5510043156603752,0.9817432102929722,0.9619878168667222,0.7996527031627207,0.8228320244933603
96 components,0.4497527810168754,0.49153224404246787,0.2815379801416779,0.19663793322189763,0.6151814059354779,0.8293625402958933,0.37508531558090724,0.2628108079449871,0.2494344747476958,0.6011400494852908,0.5509176515080846,0.9817562584386216,0.9620164406640532,0.7997582192524753,0.8227798284416133
48 components,0.44890787909656404,0.4913674289467478,0.28023597847770076,0.19662107925877517,0.6140470637402439,0.8293919495601154,0.37442710072977325,0.2612078556959355,0.2478050454874351,0.6008206913215247,0.5507612926654217,0.9817605482799916,0.9620292872122124,0.7997715224123874,0.8228289331515346
no plate id,0.44564754587495303,0.4881857625861978,0.2774088493256694,0.19684838058216514,0.6083108746877093,0.8294210624511924,0.3717633428061683,0.2519156149274998,0.24512644729011274,0.5993717971972246,0.5495381103985487,0.9817308735666275,0.9620262496868404,0.799798509105043,0.8225473653748139
no well position,0.44539177129658747,0.4865858774120435,0.2803296361755261,0.19576790710910258,0.609093010861253,0.8291375433095782,0.37214612300262384,0.2490455103967083,0.24693067446007466,0.5989786849661258,0.5486925283209332,0.981715461129711,0.9619635636646204,0.7994859035968558,0.8208400526581028
no compound id,0.43786628013618667,0.4764744826503388,0.27871427141079375,0.2000707107858356,0.6073389626525558,0.8285897815781817,0.36790576437431066,0.21767713047394638,0.24646420971355637,0.5989459268562174,0.5489804400770064,0.9817089818535325,0.9619463949448441,0.7985230403635826,0.8228922563352576
additive only,0.4358672445985512,0.4831250907201404,0.26973904143833144,0.19683327514178928,0.596830366485709,0.8296482544078936,0.3658710969085618,0.22240471106098386,0.23540755256557228,0.5958986935559496,0.5463499481785165,0.981700895113629,0.9620672224823381,0.7999130898818629,0.8196018903031705
context only (no cmpd/well),0.43507613386391075,0.48249527620013727,0.2701087116233581,0.19691329069971197,0.595795170178071,0.8295638083252019,0.3656924716491521,0.21910474547636116,0.23541437447951838,0.5953665952151741,0.5459954154777801,0.9817186807683558,0.9620600489376772,0.7998253904167257,0.81944645634601
