config,mean,sem,n,delta_vs_ref,delta_sem,n_folds_up,beats_ref
+ all three,0.4475913132654223,0.005964012348124343,6,0.002102711009875191,0.0011379093120477129,3,False
+ all three + medxtime,0.44745095063110957,0.0059767713849941985,6,0.001962348375562556,0.001111901580173101,3,False
+ medium,0.4479039937350359,0.005956658441009495,6,0.002415391479488882,0.0011821912734671777,4,True
+ temperature,0.4454222441144628,0.006437530574964753,6,-6.635814108426248e-05,2.6165937535692612e-05,0,False
+ time,0.44525811986843156,0.006436935228834236,6,-0.00023048238711553815,9.902538197865877e-05,1,False
source + instrument (new best),0.44548860225554704,0.006432655480877611,6,0.0,0.0,0,False
