trial,TOTAL,FC[chem_only],FC[straonly],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc
baseline,0.43181507375022793,0.47851843073973366,0.2711941801213107,0.19317042555230865,0.5975563829723394,0.8271555592234596,0.36405252794689447,0.209545305650637,0.23500123220313074,0.5926363698252252,0.543957707310726,0.98146237198987,0.9610335779565757,0.7948259523520964,0.8116857784399707
+ treated indicator,0.4292797463448851,0.4765427893384059,0.27097249459488904,0.19206236913679053,0.59757375211136,0.8268654780791935,0.3630093512239385,0.19916056453375275,0.23440867837579643,0.5925170735206564,0.5437751397817256,0.9813953902992456,0.9608915038720209,0.7947224741738059,0.812366753823005
+ well position,0.429155862866204,0.4741139414155422,0.2689179525044487,0.193677384564706,0.5980607739039048,0.8262298364557046,0.36144479635202476,0.2005711115574561,0.2350440867973364,0.5928329792093616,0.5428471779032431,0.9813432711850396,0.9607773788225855,0.7935487236195089,0.8111185691296507
+ treated x time,0.4287589302292102,0.4762489312598658,0.2709305869324315,0.1920883645099542,0.5974214535255504,0.8267517234900587,0.3628660021136984,0.19700979194375462,0.2343910553982056,0.5922997893340995,0.5436387320194374,0.9813900787794863,0.9608774598987333,0.794554341875686,0.8121808196318796
+ well row,0.4175793423156335,0.44967089534802196,0.2714721222540526,0.18910148434437335,0.5975993553543688,0.8248411794433783,0.3517422944399714,0.1589459431693414,0.23462077243566393,0.5908325768397542,0.5375786402397698,0.9812212350489002,0.9605205342896943,0.7914364481035163,0.8087946456955837
