trial,TOTAL,FC[chem_only],FC[straonly],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc
baseline (no cell term),0.4318150737442648,0.47851843073973366,0.27119418007770973,0.19317042555230865,0.597556383008867,0.8271555592064234,0.3640525279310085,0.209545305650637,0.23500123214412663,0.5926363698421727,0.5439577075411595,0.9814623719881972,0.9610335779539076,0.7948259523213121,0.8116857784399707
cell lam=20,0.43146675394769485,0.47806379688925077,0.2710619918048223,0.19318655521897848,0.5974399654479934,0.8271762208271957,0.3638101645816285,0.2082035746558773,0.2348884917660982,0.5926678463923889,0.5438754142642914,0.9814608890835101,0.9610309561346886,0.7948936677417142,0.8116304161562131
cell lam=8,0.4308789771546525,0.47726412561168596,0.27085923683052937,0.19319444729568241,0.5958663229384287,0.8271815857917156,0.3633051939847618,0.20628532366842073,0.23472326172933897,0.5922726359497688,0.5437476165118014,0.9814563679177233,0.9610225324232748,0.7949494565627404,0.811688297218853
cell lam=3,0.429265579210787,0.47489432762443695,0.27031093213042345,0.19316708548324169,0.589200403274898,0.8271147105322061,0.36169585736067783,0.20181429735456263,0.2343078295754093,0.5904035382919168,0.5430778709798035,0.9814379494422187,0.9609879450050921,0.7949705197478574,0.8115204137130836
cell lam=1,0.42569004241826264,0.46869526965125,0.2688997599241895,0.19297129207801922,0.5720640426636698,0.8266404486234558,0.3575040377179468,0.19374671630448925,0.2333665415522701,0.5851683321070227,0.5409291696406122,0.9813740146048748,0.9608676156982303,0.7944964409550896,0.8105334582359746
