model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc
our model,0.4811018671237492,0.5000997568003528,0.3463342614380559,0.23243154902042992,0.61614717858112,0.8684960420134622,0.40714254794612503,0.23848357686336866,0.32632399520827976,0.6375328400933205,0.578044466217276,0.9870808242919208,0.9730715961311028,0.8481915944649777,0.853726498254353
reference estimator (pooled Delta),0.46405316871111546,0.4974820044039953,0.37324258367400703,0.23625115204053573,0.5160713806195999,0.8405592366661071,0.4142426867131648,0.21968247725481746,0.2992356739807422,0.6001164788588316,0.5717074313321543,0.9848592994900046,0.9679075649869985,0.8167298111809331,0.8421170050655675
UNREACHABLE oracle (true Delta),0.8129118250549378,0.9312291146750787,0.737905562430544,0.708616050869042,0.934946301294229,0.8930745260621369,0.8178416401198226,0.8029133868029205,0.7092677371641131,0.8485293542435091,0.8509469918959418,0.9892642878477815,0.9775960862896618,0.8884798402940699,0.9933513538991949
