scenario,baseline,n_ours,n_official,rmse,rmse_off,globalR2,globalR2_off,protR2med,protR2med_off
双重未知,mean,269,266,0.9947238564491272,0.994,0.8727109432220459,0.871,-0.0640178918838501,-0.064
双重未知,ctrl,269,266,0.3586021363735199,0.382,0.9830471277236938,0.98,0.834751546382904,0.809
新化合物,mean,1065,1015,1.006052017211914,1.004,0.8696607351303101,0.868,-0.03659939765930176,-0.038
新化合物,ctrl,1065,1015,0.3562071621417999,0.379,0.9832441806793213,0.98,0.8570023775100708,0.836
新菌株,mean,1333,1293,0.8734897375106812,0.875,0.9000124931335449,0.897,-0.036330223083496094,-0.036
新菌株,ctrl,1333,1293,0.380648672580719,0.399,0.9805096387863159,0.978,0.75492262840271,0.726
时间验证,mean,139,128,0.8803050518035889,0.869,0.8994210958480835,0.9,-0.009133517742156982,-0.009
时间验证,ctrl,139,128,0.4119724631309509,0.426,0.9774665236473083,0.975,0.7509943246841431,0.719
