model,TOTAL,FC[chem_only],FC[straonly],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,lam,rms_to_reference
lam=0.0,0.4701709724374538,0.49690669753254296,0.33751778623779505,0.23631238323616519,0.5929305468923838,0.8664851110906074,0.4008999505582173,0.21251552935002388,0.3112108301420181,0.6318900559850297,0.574293701657331,0.9870240041567303,0.9727118395385548,0.8451071103481514,0.8477752469254424,0.0,0.15050353
lam=0.2,0.4704694378509883,0.49949942890114146,0.33751778623779505,0.23631238323616519,0.5929161273999951,0.8667460550999331,0.4018725108901414,0.21251561484299855,0.3112108301420181,0.6318851865763367,0.5743658290765862,0.9870262032993041,0.9727209848351236,0.8446967872830898,0.8478307949271633,0.2,0.12040276
lam=0.4,0.4704490697484292,0.49964127501923733,0.33751778623779505,0.23631238323616519,0.5927331387461661,0.8667533164085438,0.40191634232204587,0.21251559589189112,0.3112108301420181,0.6318152440072662,0.5738502255740109,0.9870153509714199,0.9727025619685886,0.8442463820059746,0.8475049874316636,0.4,0.090302095
lam=0.6,0.4701288837958086,0.49767135069927004,0.33751778623779505,0.23631238323616519,0.5923936761051948,0.8664459499405835,0.40115936983478934,0.21251563880497298,0.3112108301420181,0.6316825539154302,0.5727260433610656,0.986991503201535,0.9726565711427911,0.8435120504780501,0.8464954319921238,0.6,0.060201403
lam=0.8,0.469553259396227,0.49394126476077593,0.33751778623779505,0.23631238323616519,0.5919209701241865,0.8658194386084517,0.39973478167908844,0.2125157984186311,0.3112108301420181,0.6314913104647104,0.5712243899232738,0.9869547225802958,0.9725830122662439,0.8424756665403094,0.8452530105915796,0.8,0.030100698
lam=1.0,0.42622518301177675,0.4888075385755962,0.33751778623779505,0.23631238323616519,0.5913448961820537,0.8649856011420411,0.3977779522174149,-0.0002491994858846303,0.3112108301420181,0.6312504920251439,0.569323987905473,0.9869050781650968,0.9724818852804927,0.8415844318090907,0.8435867827858022,1.0,0.0
