config,mean,sem,n,delta_vs_ref,delta_sem,beats_ref
instrument level,0.45474286590837126,0.008062321918733488,6,0.005633866230703638,0.0021868866018850673,True
variant lam=8 + instr,0.45391648180932836,0.007835164554506172,6,0.004807482131660666,0.002012222968952404,True
REF (compound only),0.44910899967766765,0.009077576771795368,6,0.0,0.0,False
variant lam=16,0.4489670037650289,0.00907236119599547,6,-0.00014199591263876674,0.00024422993952580166,False
variant lam=32,0.44889806708810437,0.008989974214092814,6,-0.00021093258956335811,0.000254012360082878,False
variant lam=8,0.44834966938778303,0.008825384253230447,6,-0.0007593302898846558,0.00031526128680188904,False
variant lam=4,0.44816977599748314,0.008839005178024467,6,-0.0009392236801845552,0.00033448481819202505,False
