config,mean,sem,n,delta_vs_ref,delta_sem,n_folds_up,beats_ref
+ source + instrument + 240 comp,0.45774081228498975,0.007324572905840432,6,0.007193692049907163,0.002585550269472351,6,True
+ source + instrument lam=3,0.45753272582909715,0.0073254911974982035,6,0.006985605594014584,0.0026038863717590378,6,True
+ instrument lam=3,0.45616551476237777,0.008052298747886925,6,0.005618394527295169,0.002132427964300914,6,True
"ADOPTED booster, no instrument",0.4505471202350826,0.00909292024870933,6,0.0,0.0,0,False
