model,TOTAL,M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,pert_scale
  pert_scale=0.0,0.4566598299386413,0.8620176745217448,0.36996615647591063,0.21219943697692764,0.3066094461317311,0.6046500225250233,0.5507595408216109,0.9864442209109957,0.9714585690842736,0.8392336935883854,0.8321653689908906,0.0
  pert_scale=0.25,0.46297913786201184,0.8648694033733431,0.3815622339117782,0.21219943697692764,0.31069573279127355,0.6200246991426813,0.5606638968298069,0.9867712767605279,0.9721294428124523,0.843047864813013,0.8402865400565305,0.25
  pert_scale=0.5,0.4671195068950155,0.8666002819636003,0.3902250764706565,0.21219943697692764,0.31306781076479967,0.6281259491770337,0.5675427383716504,0.9869749105986101,0.972552261616331,0.8455637497273998,0.8450076521867568,0.5
  pert_scale=0.75,0.4693862713690598,0.8670490690917574,0.39648723632005045,0.21219943697692764,0.31327707389600534,0.6315377775456152,0.5721113708309526,0.9870580704548503,0.9727270255691001,0.8461334364940112,0.847992498080491,0.75
  pert_scale=1.0,0.4700424223517349,0.8662808919845475,0.4008568855268598,0.21219943697692764,0.31107500705018676,0.6317833289498589,0.5747760174540327,0.9870242916617574,0.9726537346167893,0.845013892734739,0.8493631844413984,1.0
  pert_scale=1.25,0.46935113538681345,0.8643584389969503,0.4037624400933449,0.21219943697692764,0.30659601318398866,0.6297170991136537,0.5761607524107705,0.9868775514560136,0.9723323887773954,0.8424518988902405,0.8500262098728619,1.25
  pert_scale=1.5,0.4675959848241208,0.8613367584605275,0.4055407997156801,0.21219943697692764,0.30035792163818636,0.6259936725465928,0.5766518845082634,0.9866221361489023,0.9717629880799233,0.8386633593773168,0.8500444348774966,1.5
  pert_scale=2.0,0.4618842692137042,0.8521844527483587,0.4066902987653282,0.21219943697692764,0.2851138296565324,0.6153415486183177,0.5755599156835312,0.9858032901315551,0.9698800219794181,0.8281435969635815,0.8481054857757413,2.0
