seed,strain,n_applied,k0.0,k0.25,k0.5,k0.75,k1.0
1,CGD,624,0.5085309003315542,0.508611295935236,0.507845596130679,0.5067453215472749,0.5055647171448068
5,CGD,860,0.47359744048461605,0.4745174978373431,0.4749909639085971,0.47511595975239596,0.4750551326903201
6,CGD,1095,0.475899891447392,0.475899891447392,0.475899891447392,0.475899891447392,0.475899891447392
3,BAH,1213,0.4634692367265215,0.46382220177400085,0.4627517068988296,0.46105685750518727,0.45921677208007045
7,BAH,739,0.44145848902079377,0.44145848902079377,0.44145848902079377,0.44145848902079377,0.44145848902079377
8,BAH,1212,0.4672210259370936,0.4675666875860011,0.4673213013127036,0.466771500452239,0.4661648825283494
