seed,strain,v22,dir_mean_rms,dir_rms_of_mean
1,CGD,0.5085309003315542,0.508566731949537,0.5089843752006592
5,CGD,0.47359744048461605,0.47362036969109533,0.473439540965007
6,CGD,0.475899891447392,0.4758847980062683,0.4758873002231596
3,BAH,0.4634692367265215,0.4634841572142394,0.4637377116112881
7,BAH,0.44145848902079377,0.4414505258906856,0.44130086639952787
8,BAH,0.4672210259370936,0.4672247466480427,0.4674925656305294
