seed,strain,both,both_n,DMSO,DMSO_n,Water,Water_n,avg3,avg3_n
1,CGD,0.5085309003315542,1577,0.5084076946645728,1574,0.5081327964773764,1278,0.5085225711206283,1577
5,CGD,0.47359744048461605,1577,0.4734051215956966,1574,0.47335835740694027,1278,0.4735751893845108,1577
6,CGD,0.475899891447392,1577,0.4757147100365289,1574,0.4756666923196907,1278,0.47587689806100325,1577
3,BAH,0.4634692367265215,1591,0.46319625578311874,1557,0.46368367667034965,1545,0.46343917896310877,1591
7,BAH,0.44145848902079377,1591,0.44104856643613316,1557,0.4417810225193268,1545,0.44142336323087294,1591
8,BAH,0.4672210259370936,1591,0.46691826239337764,1557,0.4674380343244524,1545,0.46719236689910065,1591
