model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,seed,strain,ks,kc
x,0.43608188475726284,0.5201699488750687,0.2636878559235051,0.225162997602191,0.6309247802293394,0.8539725623654855,0.3741107567928204,0.21343787950001755,0.19460461575863372,0.6281488222904712,0.5467260361036649,0.9801485682948842,0.9585941925765663,0.8392837494908518,0.8178477263655463,7,BAH,1.0,1.0
x,0.43531592832507593,0.5182544550066956,0.2636878559235051,0.22468079513257436,0.6309247802293394,0.8538658683063505,0.37339081253598794,0.21086720778826532,0.19460461575863372,0.6279369953353584,0.5461397457378637,0.9801356826435469,0.9585653696596945,0.8391813092241445,0.8172271737502512,7,BAH,1.0,1.1
x,0.4344911078808864,0.5159525201057759,0.2636878559235051,0.2241834294432266,0.6309247802293394,0.8537437827141803,0.37253492713578173,0.20819066097452898,0.19460461575863372,0.6277131864933472,0.5455649111627529,0.9801212539697802,0.9585330584538282,0.8390591804328389,0.8167937115497483,7,BAH,1.0,1.2
x,0.4336086035368186,0.5132684723466496,0.2636878559235051,0.2236710260761842,0.6309247802293394,0.8536063436241415,0.37154461812755324,0.20543436916309143,0.19460461575863372,0.6274774569738337,0.5449127519674726,0.9801052803022008,0.958497258999645,0.8389175170547993,0.8162427127168674,7,BAH,1.0,1.3
x,0.43267644967613733,0.510210503675313,0.2636878559235051,0.2231437149628549,0.6309247802293394,0.8534535911285285,0.37042274555389026,0.2026185898180943,0.19460461575863372,0.6272298682487183,0.5442483424348336,0.9800877596829022,0.9584579712739977,0.8387564819321565,0.8158172538059311,7,BAH,1.0,1.4
x,0.43653915716896485,0.5201699488750687,0.265104738081443,0.2241834294432266,0.6309247802293394,0.853274783248749,0.3746648278349444,0.21343787950001755,0.19707247957167867,0.6277131864933472,0.5468920619360991,0.9800623394759687,0.9584012011066824,0.8384777850452494,0.81798749770367,7,BAH,1.2,1.0
x,0.4357568898683517,0.5182544550066956,0.265104738081443,0.22356675271937382,0.6309247802293394,0.8531553768983757,0.3739296478686425,0.21086720778826532,0.19707247957167867,0.6274288860505681,0.5462515288894056,0.9800477898839439,0.9583689364282854,0.8383654949929087,0.8172378178751297,7,BAH,1.2,1.1
x,0.4349153190801752,0.5159525201057759,0.265104738081443,0.22292865164112233,0.6309247802293394,0.8530192539537406,0.37305781738281685,0.20819066097452898,0.19707247957167867,0.627127527723286,0.5456326612430563,0.9800315487372069,0.9583328626558394,0.8382320501584196,0.8166997005608126,7,BAH,1.2,1.2
x,0.4340186031033798,0.5132684723466496,0.265104738081443,0.2222693908861044,0.6309247802293394,0.8528664566536119,0.37205086967665063,0.20543436916309143,0.19707247957167867,0.6268092303068855,0.5450060315170425,0.9800136136144117,0.9582929797172649,0.8380776227149143,0.816255844197865,7,BAH,1.2,1.3
x,0.4330696077551598,0.510210503675313,0.265104738081443,0.22158925089170478,0.6309247802293394,0.8526970299573159,0.3709116818448087,0.2026185898180943,0.19707247957167867,0.6264741161998795,0.5443331160910367,0.9799939822170316,0.9582492876274379,0.8379023952061349,0.8158366760367187,7,BAH,1.2,1.4
x,0.436863333269179,0.5201699488750687,0.2662734396822724,0.2231437149628549,0.6309247802293394,0.8523625230190256,0.3750955936998936,0.21343787950001755,0.1993200594034983,0.6272298682487183,0.5468471126965095,0.979951339289214,0.9581542353599685,0.8373996081185878,0.8177764278590375,7,BAH,1.4,1.0
x,0.4360664764919557,0.5182544550066956,0.2662734396822724,0.22238072455694516,0.6309247802293394,0.8522280001725706,0.37434383663663073,0.21086720778826532,0.1993200594034983,0.6268634510211966,0.5462223751562286,0.9799348418236186,0.9581179163784836,0.8372751719005983,0.8171041281076404,7,BAH,1.4,1.1
x,0.4352084896305965,0.5159525201057759,0.2662734396822724,0.22158925089170478,0.6309247802293394,0.852075199165612,0.37345462929164924,0.20819066097452898,0.1993200594034983,0.6264741161998795,0.5456047355793666,0.979916476317155,0.9580774090605543,0.8371278681896263,0.8166020639359036,7,BAH,1.4,1.2
x,0.43429259575302137,0.5132684723466496,0.2662734396822724,0.22076978808880496,0.6309247802293394,0.8519041680572268,0.37242953095976067,0.20543436916309143,0.1993200594034983,0.6260620754612476,0.5449457228438623,0.9798962398617446,0.9580327133521187,0.8369578924873131,0.8160889366406656,7,BAH,1.4,1.3
x,0.4333217149174343,0.510210503675313,0.2662734396822724,0.2199228684713556,0.6309247802293394,0.8517149579568029,0.37127144727386363,0.2026185898180943,0.1993200594034983,0.6256275485710194,0.544207536123747,0.9798741296701058,0.9579838292497164,0.8367654521179521,0.8155074611764956,7,BAH,1.4,1.4
x,0.4370606754948889,0.5201699488750687,0.2672078619337851,0.22204498270623033,0.6309247802293394,0.8512385048740035,0.37540970718257394,0.21343787950001755,0.20135699654713257,0.6266993880853742,0.5466326741295443,0.9798156852496841,0.9578532951026988,0.8360599970486023,0.8173268838472353,7,BAH,1.6,1.0
x,0.43624498693273017,0.5182544550066956,0.2672078619337851,0.22112438294101286,0.6309247802293394,0.851086506963883,0.3746400932408943,0.21086720778826532,0.20135699654713257,0.6262414314409348,0.5459735643711378,0.9797969545955356,0.9578123092209758,0.835921303767848,0.8165811578263958,7,BAH,1.6,1.1
x,0.4353669331906722,0.5159525201057759,0.2672078619337851,0.220167615069922,0.6309247802293394,0.8509144389921431,0.3737321583371573,0.20819066097452898,0.20135699654713257,0.6257539805479104,0.5453215249766172,0.9797761513004315,0.9577666974143432,0.8357578062606311,0.8160061374831444,7,BAH,1.6,1.2
x,0.4344294391574946,0.5132684723466496,0.2672078619337851,0.21917552117809894,0.6309247802293394,0.8507223555723256,0.372687501189857,0.20543436916309143,0.20135699654713257,0.6252373775272652,0.5446216370158786,0.9797532718744355,0.9577164596688897,0.8355697273871537,0.8154026205775773,7,BAH,1.6,1.3
x,0.4334373554186882,0.510210503675313,0.2672078619337851,0.21814900494131054,0.6309247802293394,0.8505103152595554,0.37150906950553086,0.2026185898180943,0.20135699654713257,0.6246919821707329,0.5438741900055141,0.9797283129425158,0.9576615959643214,0.8353573044123269,0.8148267734861067,7,BAH,1.6,1.4
x,0.4371411101512344,0.5201699488750687,0.2679224238076245,0.2208885492892569,0.6309247802293394,0.8499056453049323,0.37561408541338476,0.21343787950001755,0.203193563970384,0.6261223210998699,0.5463587786566897,0.9796555161277496,0.9574983805834615,0.8344704762950009,0.8169324548668995,7,BAH,1.8,1.0
x,0.43630532539258304,0.5182544550066956,0.2679224238076245,0.2197996728329259,0.6309247802293394,0.8497338627023727,0.374825406002327,0.21086720778826532,0.203193563970384,0.6255636510578367,0.5456736378802637,0.9796342656861122,0.9574521151904986,0.8343156114996465,0.8161433171740811,7,BAH,1.8,1.1
x,0.4354054846150984,0.5159525201057759,0.2679224238076245,0.21866650494939002,0.6309247802293394,0.8495399927435843,0.37389748527040834,0.20819066097452898,0.203193563970384,0.6249682551458231,0.5449888849042923,0.9796107097330922,0.957400727930773,0.8341338029275801,0.8154995145817964,7,BAH,1.8,1.2
x,0.43444642205650325,0.5132684723466496,0.2679224238076245,0.21749038441782703,0.6309247802293394,0.8493240982615615,0.37283197821073155,0.20543436916309143,0.203193563970384,0.6243366578994249,0.5442871086974109,0.9795848441087076,0.9573442188957586,0.833925306356838,0.8149290221523137,7,BAH,1.8,1.3
