model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,seed,strain,beta,tau
x,0.5049881075705787,0.4910345527948464,0.34666817864000654,0.22670863764594895,0.6474170220226388,0.8928878540930922,0.4106400229177149,0.36706962515634844,0.290753573448654,0.6360357137277012,0.5716463985752157,0.987058433721593,0.9730169464027335,0.8741822340736359,0.8385849098009561,1,CGD,0.0,1.0
x,0.5054234558162416,0.4905572945542085,0.3498859745689228,0.2268491004763562,0.6473491737354078,0.8928208328185976,0.4116322194497122,0.3657445084526711,0.2929190915775039,0.6361270021058564,0.5721162834694675,0.9870657171785467,0.9730122596010177,0.8740934334010002,0.838898104826157,1,CGD,0.1,1.0
x,0.5055504096596346,0.4902919157098738,0.3513520691586644,0.22691807323803115,0.6471514186633099,0.892748370799847,0.4120541032168979,0.36497468549907836,0.2938351029490901,0.6361120635075267,0.5722809131010869,0.9870627382630461,0.9729933895757165,0.874005169850466,0.8390640418898294,1,CGD,0.15,1.0
x,0.5056201053056631,0.49000942260350694,0.3527311022593579,0.22698620744126244,0.646856974828785,0.8926502561056237,0.41243057783191045,0.3641331640910343,0.29464573211954576,0.6360600093546027,0.5724125889796899,0.9870554555075253,0.9729635016913316,0.8738888148030746,0.8392189485556665,1,CGD,0.2,1.0
x,0.5056344338149354,0.48971033559701677,0.3540286351215276,0.22705349679595851,0.6464742234344503,0.8925267239136894,0.412764422489952,0.3632202332210648,0.295356222654626,0.6359730860860859,0.5725076725192556,0.9870439513225105,0.9729225961812067,0.8737452245094997,0.8393637477375832,1,CGD,0.25,1.0
x,0.5055943700203341,0.48939517594990295,0.35524980056923744,0.22711994231297683,0.6460108495367696,0.8923780051217972,0.41305821786245206,0.3622365664585939,0.295972211027166,0.6358532905071557,0.5725425996498824,0.9870283076841515,0.9728706728585796,0.8735752426415531,0.8395146762683962,1,CGD,0.3,1.0
x,0.5056303925568978,0.4903938893403617,0.35161231359401335,0.2268913497823262,0.6469741945856939,0.8927010692904447,0.4121792983939945,0.3652288453173707,0.2938903977099575,0.6360512506959298,0.5723276085050314,0.9870574612962417,0.9729741484012734,0.8739565174434785,0.839048748883408,1,CGD,0.2,1.25
x,0.5056900754641828,0.4900073019473982,0.35365821197743913,0.22698023990485733,0.6462639402378645,0.892487142288995,0.41273350598469116,0.36405394031158717,0.2949400435055293,0.6358775972241442,0.5724542804874653,0.9870349881840649,0.9728973800183809,0.8737150010381713,0.839237076200399,1,CGD,0.3,1.25
x,0.5055817526210258,0.4906042834958406,0.35077125348042665,0.22683718376006007,0.6470506741830425,0.8927402537899158,0.4119581082736624,0.36582502655564764,0.2933197169440839,0.636045712844594,0.5722130962044266,0.9870586829445175,0.972982895101456,0.8740073949676673,0.8388936183993615,1,CGD,0.2,1.5
x,0.5056722498652826,0.4903443157063333,0.35246294749234114,0.22690013860968672,0.6464488357793476,0.8925707296072114,0.41243979535121233,0.36503952044739885,0.2941641777885982,0.635899562690508,0.5723491837957416,0.9870397673002382,0.9729193429860533,0.8738196636413611,0.8390986139738521,1,CGD,0.3,1.5
