seed,strain,n_ok,n_t,a0.0,a0.25,a0.5,a0.75,a1.0
1,CGD,96,160,0.5085309003315542,0.5085462728849791,0.5082737519767938,0.5077693408810044,0.5070991993877213
5,CGD,94,160,0.47359744048461605,0.47351740382507507,0.4731239316549261,0.4724928390717808,0.47170962580373044
6,CGD,101,160,0.475899891447392,0.4758554423435553,0.4755153398461496,0.47493166437391954,0.47418212584831204
3,BAH,86,160,0.4634692367265215,0.46338956703153145,0.46304692745179155,0.46250109217526914,0.4618265222680477
7,BAH,102,160,0.44145848902079377,0.44132574911309674,0.44087654085567607,0.4401900986502766,0.43934217179387935
8,BAH,96,160,0.4672210259370936,0.4671686499819249,0.4668328403690801,0.46627469062143645,0.46556414266953305
