model,TOTAL,M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc
ORACLE truth,0.9833333333333334,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
ORACLE replicate-measurement,0.2762047209096637,0.5354714041842527,0.19493563848877496,0.0920916493077426,0.23032673501103876,0.37202483162417815,0.3738074084889065,0.9458512459192805,0.8073792904513227,0.1250915624492248,0.6852314679536335
NULL protein-mean,0.243132492603616,0.4769453688930679,0.18516752277680962,0.03485470820985207,0.2156075884959471,0.3243655722757595,0.3784504312412844,0.953890735859352,0.8836498805675842,1.92678374927117e-09,0.6845101191183708
NULL plate x strain (Delta=0),0.4056748181379182,0.8933121557492539,0.24815749724676447,0.18015327827215033,0.2552899872639849,0.5637321212065006,0.4302229489699842,0.9830205668409691,0.9640716530490371,0.8036037446575388,0.753599864930604
NULL shuffled-sample truth,0.20508389713594838,0.45813932499609145,0.1331724623414941,0.02574775527211129,0.1545683641254073,0.2810486640847317,0.3198965252675927,0.9124469845979751,0.7646190457833001,0.003831665394207712,0.6273749884039825
