w_struct,w_moa,topk,temp,mean_r,median_r,frac_pos,wmean_r
1.0,0.0,3,0.3,0.007393916648706885,-0.0912997148730341,0.35135135135135137,-0.012812780901776018
0.0,1.0,5,0.1,0.0014124072922762992,-0.0925211608208509,0.24324324324324326,-0.03132976555639484
0.0,1.0,3,0.1,0.0014124072922762992,-0.0925211608208509,0.24324324324324326,-0.03132976555639484
0.0,1.0,5,0.3,0.0014124072922762992,-0.0925211608208509,0.24324324324324326,-0.03132976555639484
0.0,1.0,8,0.3,0.0014124072922762992,-0.0925211608208509,0.24324324324324326,-0.03132976555639484
0.0,1.0,8,0.1,0.0014124072922762992,-0.0925211608208509,0.24324324324324326,-0.03132976555639484
0.0,1.0,3,0.3,0.0014124072922762992,-0.0925211608208509,0.24324324324324326,-0.03132976555639484
1.0,0.0,3,0.1,-0.017462404853827225,-0.08567009199150795,0.35135135135135137,-0.0572366959962967
1.0,0.0,5,0.3,-0.027483169180492057,-0.10245690879513009,0.35135135135135137,-0.062263967006481985
1.0,0.0,5,0.1,-0.03810763491269858,-0.09924589672795298,0.3783783783783784,-0.0867598751640112
0.5,0.5,3,0.3,-0.05786379458829337,-0.1206065113595861,0.32432432432432434,-0.10588756625442383
0.5,0.5,3,0.1,-0.05390379915398411,-0.13829842897107375,0.2972972972972973,-0.11500113924111587
0.5,0.5,8,0.3,-0.04285441640645162,-0.07691128065085225,0.3783783783783784,-0.11659324061802559
0.5,0.5,8,0.1,-0.04421765501745342,-0.08470859784492013,0.35135135135135137,-0.12186154938417978
0.5,0.5,5,0.1,-0.05003358208301706,-0.12670300755694408,0.35135135135135137,-0.1240425959528558
0.5,0.5,5,0.3,-0.06291939723850577,-0.11975124115930583,0.40540540540540543,-0.13028541584714126
1.0,0.0,8,0.1,-0.09126802653505921,-0.07143546732132156,0.2702702702702703,-0.1439633105515038
1.0,0.0,8,0.3,-0.1008973718355965,-0.07746288803780255,0.24324324324324326,-0.15498576336698494
